text_raw,text_clean,tokens,token_count
tradingview the best charting tool for crypto and stocks,tradingview best charting tool crypto stock,"['tradingview', 'best', 'charting', 'tool', 'crypto', 'stock']",6
ynab working hard with nothing to show for it use your money more efficiently and control your spending and saving with the ynab app,ynab working hard nothing show use money efficiently control spending saving ynab app,"['ynab', 'working', 'hard', 'nothing', 'show', 'use', 'money', 'efficiently', 'control', 'spending', 'saving', 'ynab', 'app']",13
mint free personal finance software to assist you to manage your money financial planning and budget planning tools achieve your financial goals with mint,mint free personal finance software assist manage money financial planning budget planning tool achieve financial goal mint,"['mint', 'free', 'personal', 'finance', 'software', 'assist', 'manage', 'money', 'financial', 'planning', 'budget', 'planning', 'tool', 'achieve', 'financial', 'goal', 'mint']",17
robinhood free stock trading service,robinhood free stock trading service,"['robinhood', 'free', 'stock', 'trading', 'service']",5
finviz stock screener for investors and traders financial visualizations,finviz stock screener investor trader financial visualization,"['finviz', 'stock', 'screener', 'investor', 'trader', 'financial', 'visualization']",7
yahoo finance at yahoo finance you get free stock quotes uptodate news portfolio management resources international market data social interaction and mortgage rates that help you manage your financial life,yahoo finance yahoo finance get free stock quote uptodate news portfolio management resource international market data social interaction mortgage rate help manage financial life,"['yahoo', 'finance', 'yahoo', 'finance', 'get', 'free', 'stock', 'quote', 'uptodate', 'news', 'portfolio', 'management', 'resource', 'international', 'market', 'data', 'social', 'interaction', 'mortgage', 'rate', 'help', 'manage', 'financial', 'life']",24
homebank free easy personal accounting for everyone,homebank free easy personal accounting everyone,"['homebank', 'free', 'easy', 'personal', 'accounting', 'everyone']",6
seeking alpha be the first to know about news and market moving analysis on the stocks you follow,seeking alpha first know news market moving analysis stock follow,"['seeking', 'alpha', 'first', 'know', 'news', 'market', 'moving', 'analysis', 'stock', 'follow']",10
metatrader5 worldleading multiasset platform that allows trading forex stocks futures and cfds,metatrader5 worldleading multiasset platform allows trading forex stock future cfds,"['metatrader5', 'worldleading', 'multiasset', 'platform', 'allows', 'trading', 'forex', 'stock', 'future', 'cfds']",10
quicken stay in control of your monthly cash flows budgets and expenditures quicken provides a navigable interface where you can organize your debit credit and savings and build good habits accordingly,quicken stay control monthly cash flow budget expenditure quicken provides navigable interface organize debit credit saving build good habit accordingly,"['quicken', 'stay', 'control', 'monthly', 'cash', 'flow', 'budget', 'expenditure', 'quicken', 'provides', 'navigable', 'interface', 'organize', 'debit', 'credit', 'saving', 'build', 'good', 'habit', 'accordingly']",20
gnucash a personal and smallbusiness financialaccounting software licensed under gnugpl and available for linux windows mac os x bsd and solaris,gnucash personal smallbusiness financialaccounting software licensed gnugpl available linux window mac o bsd solaris,"['gnucash', 'personal', 'smallbusiness', 'financialaccounting', 'software', 'licensed', 'gnugpl', 'available', 'linux', 'window', 'mac', 'o', 'bsd', 'solaris']",14
money manager ex money manager ex is a free opensource crossplatform easytouse personal finance software,money manager ex money manager ex free opensource crossplatform easytouse personal finance software,"['money', 'manager', 'ex', 'money', 'manager', 'ex', 'free', 'opensource', 'crossplatform', 'easytouse', 'personal', 'finance', 'software']",13
gurufocus historical financial data and insider holdings,gurufocus historical financial data insider holding,"['gurufocus', 'historical', 'financial', 'data', 'insider', 'holding']",6
finboxio online investing tools that makes it faster  easier to find undervalued stocks,finboxio online investing tool make faster easier find undervalued stock,"['finboxio', 'online', 'investing', 'tool', 'make', 'faster', 'easier', 'find', 'undervalued', 'stock']",10
etoro the social investment network that connects traders from around the globe and enables them to share,etoro social investment network connects trader around globe enables share,"['etoro', 'social', 'investment', 'network', 'connects', 'trader', 'around', 'globe', 'enables', 'share']",10
